Lisa Conn 8D V3 2010.02.27 12:10 ,,
Freq,Impedancedata,Phase
38,1.316439986,13.85408906
38.5,1.254698038,13.71028347
39,1.216918588,13.67780563
39.5,1.196755767,13.54763292
40,1.184044838,13.52802614
40.5,1.189003944,13.41495101
41,1.216849446,13.41054211
41.5,1.258244753,13.28970098
42,1.301617146,13.28545055
42.5,1.377090931,13.1728513
43,1.46473527,13.16092508
43.5,1.572359085,13.0344924
44,1.68901372,13.01279415
44.5,1.829806924,12.8798305
45,1.995374918,12.84622377
45.5,2.168858051,12.69329156
46,2.361716986,12.64629848
46.5,2.552696228,12.47924696
47,2.757908106,12.42475536
47.5,2.958564281,12.24939674
48,3.157449007,12.19031007
48.5,3.350917816,12.01644769
49,3.55125618,11.95974547
49.5,3.7421875,11.78862913
50,3.947553635,11.7358062
50.5,4.140538692,11.56789968
51,4.360633373,11.5187608
51.5,4.557214737,11.34847356
52,4.743784904,11.30225606
52.5,4.928404808,11.14306644
53,5.123166561,11.10576402
53.5,5.332392693,10.9577083
54,5.594287395,10.9248995
54.5,5.843485355,10.77455134
55,6.14170742,10.74047557
55.5,6.402121067,10.58549261
56,6.681011677,10.55238556
56.5,6.931694031,10.40125411
57,7.192491055,10.37538807
57.5,7.463459015,10.23439462
58,7.751264095,10.21741497
58.5,8.092357635,10.08834616
59,8.488311768,10.07878562
59.5,8.974517822,9.95715471
60,9.582392693,9.949158609
60.5,10.30844021,9.822880229
61,11.18026257,9.805712523
61.5,12.20756817,9.666404739
62,13.38189888,9.630809335
62.5,14.71478081,9.472627532
63,16.19621086,9.414738974
63.5,17.79879761,9.233813578
64,19.50680923,9.152177055
64.5,21.26379013,8.947817884
65,23.00231934,8.842440323
65.5,24.65506554,8.617524339
66,26.14706993,8.492415851
66.5,27.3777504,8.25084846
67,28.27705956,8.111456958
67.5,28.77171707,7.859928362
68,28.81671333,7.713779942
68.5,28.42954445,7.460892165
69,27.61029816,7.315451185
69.5,26.42089844,7.067461518
70,24.88813019,6.927827253
70.5,23.06432915,6.690068718
71,21.04924965,6.564375744
71.5,18.91724968,6.345328064
72,16.75751686,6.241622372
72.5,14.6483469,6.050761566
73,12.67291069,5.978285125
73.5,10.85227203,5.822859556
74,9.244245529,5.789273703
74.5,7.841664791,5.675239484
75,6.652180672,5.684045817
75.5,5.662425041,5.613785163
76,4.850492001,5.663309878
76.5,4.192611217,5.632752892
77,3.670716763,5.717700063
77.5,3.25870657,5.717234613
78,2.936147451,5.825555984
78.5,2.687277555,5.843410182
79,2.493097782,5.963037618
79.5,2.345875502,5.989669027
80,2.233773947,6.113041092
80.5,2.149406433,6.142486852
81,2.090227365,6.268374667
81.5,2.054811239,6.300632067
82,2.042130232,6.427516165
82.5,2.054413319,6.460051058
83,2.09026885,6.58284834
83.5,2.150485992,6.609661663
84,2.237913609,6.72300751
84.5,2.348885059,6.736770182
85,2.485479355,6.835749473
85.5,2.653519869,6.833309854
86,2.840346098,6.910165717
86.5,3.04729557,6.888345669
87,3.270802021,6.947067306
87.5,3.510038137,6.909349097
88,3.764074326,6.953065924
88.5,4.030743599,6.901503982
89,4.301542282,6.931321438
89.5,4.573534012,6.869562803
90,4.843110085,6.891219953
90.5,5.110993385,6.82581933
91,5.39272356,6.843987601
91.5,5.662723541,6.773132566
92,5.930677414,6.789025473
92.5,6.202000141,6.71895646
93,6.475811005,6.734515897
93.5,6.762622356,6.66518634
94,7.053851128,6.679123733
94.5,7.351224899,6.609601427
95,7.66145277,6.623514091
95.5,7.985926151,6.553912901
96,8.321173668,6.56593189
96.5,8.658230782,6.49555805
97,9.00364399,6.50822521
97.5,9.361991882,6.440963369
98,9.750576973,6.457278064
98.5,10.18447495,6.394334485
99,10.68545914,6.413261239
99.5,11.27670002,6.351087727
100,11.96548653,6.366350292
100.5,12.77544308,6.298481039
101,13.71773338,6.30315352
101.5,14.78403759,6.221530813
102,15.98377705,6.209726114
102.5,17.30216408,6.110177321
103,18.73054123,6.077870726
103.5,20.2186451,5.957570331
104,21.75369453,5.904417412
104.5,23.26767731,5.764169047
105,24.72890282,5.691289204
105.5,26.0364933,5.532925237
106,27.15484619,5.444507119
106.5,28.045578,5.273333308
107,28.61992073,5.172122217
107.5,28.84601974,4.992177483
108,28.72522736,4.88433771
108.5,28.21271515,4.699272853
109,27.3139286,4.58844381
109.5,26.03863335,4.40292742
110,24.34850883,4.295341541
110.5,22.41753578,4.12279022
111,20.3143177,4.0321777
111.5,18.1445713,3.881781481
112,16.00559425,3.818170319
112.5,13.97187328,3.699036968
113,12.09089088,3.670011718
113.5,10.41411591,3.590296398
114,8.958277702,3.601788108
114.5,7.724039078,3.563394595
115,6.701004028,3.612723518
115.5,5.840754986,3.608933881
116,5.142755032,3.693214378
116.5,4.582483292,3.721454985
117,4.13843441,3.831907335
117.5,3.793985367,3.882439905
118,3.531851053,4.008901898
118.5,3.339153528,4.070993667
119,3.206278086,4.203295222
119.5,3.121720314,4.266242399
120,3.075842619,4.395081601
120.5,3.063402414,4.453935949
121,3.08348465,4.577341356
121.5,3.133373976,4.629950396
122,3.215231895,4.745566294
122.5,3.328749418,4.788928763
123,3.474018335,4.892866788
123.5,3.653066397,4.923746157
124,3.866178036,5.012608602
124.5,4.111869335,5.02709478
125,4.386720181,5.097928736
125.5,4.686919212,5.095339048
126,5.011804581,5.149382886
126.5,5.355298519,5.13125471
127,5.714855194,5.169770053
127.5,6.073357582,5.138392146
128,6.44060421,5.166803634
128.5,6.802440643,5.127095159
129,7.161578178,5.148638276
129.5,7.510397434,5.105151627
130,7.860434532,5.124399273
130.5,8.204073906,5.080014853
131,8.554450035,5.099121452
131.5,8.913695335,5.055407242
132,9.286804199,5.073307922
132.5,9.657532692,5.028967785
133,10.04923344,5.047235244
133.5,10.44132233,5.003900258
134,10.8716383,5.024870672
134.5,11.34088802,4.983200901
135,11.84722996,5.004030619
135.5,12.41702366,4.963752022
136,13.06625175,4.984524531
136.5,13.82695293,4.942177294
137,14.69278717,4.956746457
137.5,15.6934433,4.906651364
138,16.82888031,4.909738161
138.5,18.0956974,4.846118121
139,19.51104736,4.833749014
139.5,21.04610634,4.752340266
140,22.68651009,4.720725267
140.5,24.40395355,4.619686639
141,26.13315582,4.567062322
141.5,27.81598854,4.446896869
142,29.41987419,4.376000023
142.5,30.82973289,4.238284432
143,31.99412346,4.151750239
143.5,32.81632233,4.001567973
144,33.29032898,3.905743583
144.5,33.38473511,3.748613131
145,33.05773163,3.646206273
145.5,32.265625,3.48547239
146,31.04833794,3.383321625
146.5,29.43250656,3.22710317
147,27.51120949,3.13383391
147.5,25.37908363,2.990115215
148,23.08026123,2.911877203
148.5,20.73627281,2.788738151
149,18.4166851,2.735286097
149.5,16.22799492,2.641243623
150,14.19149017,2.6182846
150.5,12.35464764,2.558238817
151,10.73524666,2.571112299
151.5,9.335035324,2.548418811
152,8.159297943,2.59844261
152.5,7.178407669,2.610315162
153,6.374977112,2.692014558
153.5,5.72440052,2.732675235
154,5.206103802,2.83849029
154.5,4.79869318,2.899702063
155,4.493339062,3.020860156
155.5,4.263909817,3.090922683
156,4.100336075,3.217129943
156.5,3.994762421,3.290075555
157,3.939758539,3.414992813
157.5,3.925692081,3.484615501
158,3.95603776,3.605441644
158.5,4.027571678,3.668220302
159,4.133646011,3.77988993
159.5,4.28344965,3.833843782
160,4.47196722,3.933683685
160.5,4.703102112,3.9741013
161,4.970081329,4.058608952
161.5,5.277667046,4.083578402
162,5.616823196,4.151514873
162.5,5.989544868,4.161121893
163,6.393519402,4.213776959
163.5,6.822507381,4.208534914
164,7.272273064,4.246678717
164.5,7.728783131,4.228857103
165,8.196505547,4.256310527
165.5,8.656069756,4.230245431
166,9.128442764,4.251318723
166.5,9.57606411,4.220028221
167,10.04031563,4.239392124
167.5,10.49525547,4.206335431
168,10.96181488,4.225137368
168.5,11.44688129,4.191817726
169,11.92843533,4.208900694
169.5,12.42964363,4.176629711
170,12.94837856,4.195305375
170.5,13.51498795,4.165504718
171,14.13554764,4.185629969
171.5,14.83968639,4.155991844
172,15.61568165,4.173887263
172.5,16.49661636,4.142196349
173,17.51180077,4.156252234
173.5,18.67134476,4.117095135
174,19.96922684,4.120506208
174.5,21.41194725,4.069933227
175,23.02546883,4.06044938
175.5,24.79263878,3.994222422
176,26.6866684,3.96665969
176.5,28.65289879,3.882155899
177,30.679636,3.837121772
177.5,32.70961761,3.734883283
178,34.65743637,3.672204754
178.5,36.47618103,3.553761257
179,38.03094482,3.476218455
179.5,39.3371048,3.346101418
180,40.26516724,3.257462642
180.5,40.78413773,3.118341767
181,40.80704498,3.023458721
181.5,40.37975311,2.881722583
182,39.46483612,2.786393907
182.5,38.13305283,2.647696584
183,36.44441223,2.557715492
183.5,34.44242859,2.42572764
184,32.17712784,2.344697929
184.5,29.73939514,2.224975451
185,27.19075203,2.158795378
185.5,24.62111092,2.057733553
186,22.11115456,2.01342471
186.5,19.72639465,1.937022615
187,17.51311493,1.91935666
187.5,15.51197529,1.871389764
188,13.72417355,1.881730971
188.5,12.14974403,1.862988551
189,10.79999733,1.902169872
189.5,9.635984421,1.910670532
190,8.667264938,1.976229283
190.5,7.855555058,2.008173085
191,7.198866844,2.093753714
191.5,6.656565189,2.140721234
192,6.214894772,2.238722456
192.5,5.861116886,2.296484783
193,5.578527451,2.402404965
193.5,5.362654209,2.466890879
194,5.201653957,2.577851673
194.5,5.099786282,2.646328058
195,5.045734882,2.758911275
195.5,5.049285412,2.827025102
196,5.089099884,2.93597465
196.5,5.188693523,3.001782895
197,5.337701321,3.10247653
197.5,5.518494606,3.158774888
198,5.771017075,3.252076534
198.5,6.061394691,3.294752396
199,6.410505295,3.373780843
199.5,6.794076443,3.400356622
200,7.205849171,3.465353726
200.5,7.680020809,3.48317054
201,8.216178894,3.533944627
201.5,8.77409935,3.534347916
202,9.373940468,3.571526888
202.5,9.993123055,3.558078167
203,10.60263062,3.583176796
203.5,11.22810745,3.56339869
204,11.8497858,3.583073988
204.5,12.48273373,3.560361279
205,13.12403965,3.578604179
205.5,13.79461288,3.556668922
206,14.5271616,3.575595117
206.5,15.30974102,3.552241374
207,16.1638279,3.569716359
207.5,17.1113205,3.546225824
208,18.24688911,3.561181921
208.5,19.49076271,3.526809301
209,20.83830643,3.531440186
209.5,22.36924553,3.487792512
210,23.97114944,3.480119484
210.5,25.80771828,3.426807061
211,27.79104614,3.403898657
211.5,29.8941288,3.332390849
212,32.05295563,3.292437656
212.5,34.28723145,3.204818293
213,36.47224045,3.146184458
213.5,38.41322708,3.043497528
214,40.41923523,2.976730569
214.5,42.17308426,2.857649899
215,43.47843933,2.77687798
215.5,44.55492783,2.651532761
216,45.17071533,2.56277453
216.5,45.44068909,2.42896463
217,44.91055298,2.331230427
217.5,43.7915802,2.200765583
218,42.42464447,2.114853234
218.5,40.71504211,1.987690742
219,38.47061539,1.909038019
219.5,36.29644012,1.797976557
220,33.82611084,1.729496748
220.5,31.37920761,1.630813783
221,28.74573326,1.578976616
221.5,26.4373436,1.503990008
222,24.18846512,1.463464787
222.5,21.93352127,1.400078002
223,19.90624809,1.379356574
223.5,17.88144875,1.331859412
224,16.08715057,1.337389821
224.5,14.49069118,1.315164679
225,13.08748722,1.34221844
225.5,11.89905643,1.340249847
226,10.84004116,1.378838211
226.5,9.87405777,1.391039569
227,9.058369637,1.447928281
227.5,8.323244095,1.47439044
228,7.697807312,1.547483335
228.5,7.166924,1.589415419
229,6.716484547,1.673476961
229.5,6.326227665,1.727281599
230,6.017508507,1.823803022
230.5,5.760177135,1.887619609
231,5.581487656,1.994464983
231.5,5.465016842,2.063119927
232,5.399838924,2.169738469
232.5,5.382878304,2.237028736
233,5.40331459,2.340542214
233.5,5.462106228,2.405549492
234,5.565423012,2.508558113
234.5,5.733628273,2.570779929
235,5.946784496,2.666401899
235.5,6.23606205,2.718919618
236,6.555901527,2.799624802
236.5,6.938461781,2.839564013
237,7.350940704,2.90636292
237.5,7.814033508,2.937949466
238,8.396528244,2.994510938
238.5,8.970254898,3.003595399
239,9.595552444,3.049650386
239.5,10.30601788,3.050552936
240,11.05584431,3.082299087
240.5,11.86680698,3.068730124
241,12.63172054,3.088591676
241.5,13.49523163,3.074719477
242,14.46244812,3.089931723
242.5,15.4623661,3.062225258
243,16.47891617,3.072024354
243.5,17.70486832,3.040786044
244,18.90295601,3.037948003
244.5,20.26897812,3.000084888
245,21.73987579,2.99031715
245.5,23.4686718,2.938466309
246,25.13765717,2.906706674
246.5,26.88671494,2.840415039
247,28.65843964,2.79326003
247.5,30.19531059,2.71130708
248,31.79710007,2.65946699
248.5,33.27006912,2.568635767
249,34.72132111,2.507624355
249.5,36.0440712,2.403332263
250,36.91599274,2.327150291
250.5,37.54320908,2.219339624
251,37.89805603,2.137990306
251.5,37.71395493,2.024538362
252,37.27243042,1.946542081
252.5,36.49811172,1.836572758
253,35.4340477,1.760923774
253.5,34.01467514,1.657619035
254,32.4991188,1.593514978
254.5,30.83858871,1.500330737
255,29.10348511,1.444399061
255.5,27.21897316,1.361285718
256,25.36501694,1.320151203
256.5,23.53876114,1.250759345
257,21.7052002,1.221639268
257.5,19.93852425,1.170553721
258,18.32290268,1.160194205
258.5,16.78589821,1.125204479
259,15.41095829,1.132709657
259.5,14.15431499,1.112478511
260,12.98816586,1.133223852
260.5,11.93927383,1.129775425
261,10.9921484,1.16641369
261.5,10.16157913,1.180420727
262,9.453640938,1.229758123
262.5,8.780590057,1.253430348
263,8.219498634,1.318688198
263.5,7.722226143,1.355490259
264,7.313485622,1.432096552
264.5,6.95844841,1.477137598
265,6.652746677,1.562789086
265.5,6.421984196,1.619146712
266,6.241061687,1.710084332
266.5,6.101222038,1.771330652
267,6.022417545,1.870368685
267.5,6.014154434,1.934544974
268,6.039712906,2.030599323
268.5,6.129062653,2.093706667
269,6.266284466,2.185321583
269.5,6.45582819,2.241740648
270,6.704114437,2.326412652
270.5,7.010473728,2.370435424
271,7.331207275,2.442176948
271.5,7.724354267,2.479487933
272,8.173091888,2.541211421
272.5,8.682638168,2.563785084
273,9.209956169,2.611674513
273.5,9.804470062,2.624470787
274,10.42557144,2.661695284
274.5,11.10587692,2.665894496
275,11.8443594,2.695302977
275.5,12.65493393,2.689843315
276,13.51190472,2.708839881
276.5,14.44282722,2.694977181
277,15.45926476,2.704026201
277.5,16.50094795,2.678267574
278,17.61250114,2.679615922
278.5,18.80704308,2.646638987
279,20.08235741,2.6385197
279.5,21.44167328,2.59599265
280,22.90340042,2.576390709
280.5,24.39276314,2.520629154
281,25.94849205,2.488865803
281.5,27.50926971,2.419980075
282,29.03490829,2.374356332
282.5,30.46587563,2.293843188
283,31.80755043,2.238006641
283.5,32.99258041,2.148597655
284,34.04598236,2.083470011
284.5,34.77216721,1.985275574
285,35.30081558,1.916035293
285.5,35.54003525,1.814715205
286,35.52766418,1.742048033
286.5,35.15587997,1.639593835
287,34.57958221,1.568499266
287.5,33.66955948,1.467199725
288,32.50812912,1.399616337
288.5,31.07108688,1.306176391
289,29.54036331,1.250620189
289.5,27.92259026,1.168313247
290,26.21138954,1.122985851
290.5,24.46892548,1.055491481
291,22.81548309,1.026954015
291.5,21.20545578,0.972251982
292,19.65082169,0.95809773
292.5,18.24115562,0.917951552
293,16.84618378,0.915072518
293.5,15.5924387,0.891205037
294,14.44484425,0.902969479
294.5,13.40385056,0.889007619
295,12.40477085,0.9114282
295.5,11.52432823,0.911466753
296,10.69973755,0.945412836
296.5,9.953051567,0.958086392
297,9.284853935,1.007175648
297.5,8.703808784,1.031792817
298,8.162106514,1.092253941
298.5,7.717649937,1.131903169
299,7.337084293,1.202595716
299.5,7.010155678,1.248636057
300,6.72720623,1.328173544
300.5,6.50972414,1.383037795
301,6.332363605,1.46826409
301.5,6.202551842,1.527870844
302,6.109014511,1.619783491
302.5,6.092072487,1.685855716
303,6.121042728,1.777160107
303.5,6.205427647,1.838905475
304,6.318521976,1.925112633
304.5,6.491695881,1.98405588
305,6.719057083,2.063289948
305.5,6.975728989,2.111949366
306,7.291807175,2.185358616
306.5,7.673719406,2.22468529
307,8.092599869,2.284418879
307.5,8.565644264,2.312473638
308,9.083556175,2.359990961
308.5,9.631973267,2.376888291
309,10.24854279,2.416008525
309.5,10.91032028,2.421690844
310,11.61219978,2.449061072
310.5,12.34486103,2.44587054
311,13.14354801,2.465842556
311.5,13.97504139,2.453515285
312,14.84727764,2.465814041
312.5,15.77880955,2.447969335
313,16.77853966,2.453423262
313.5,17.83433533,2.428158282
314,18.97485352,2.426055314
314.5,20.16526604,2.392025182
315,21.43479538,2.382149356
315.5,22.79559326,2.339785924
316,24.24556923,2.318901508
316.5,25.72511292,2.262476058
317,27.14836884,2.229874775
317.5,28.65893555,2.16581878
318,30.11908913,2.121030488
318.5,31.50321579,2.044435066
319,32.73075867,1.989274473
319.5,33.79192352,1.905174688
320,34.70298386,1.844599194
320.5,35.41508102,1.754208791
321,35.8759613,1.68781671
321.5,36.06004715,1.593429548
322,35.93722916,1.525441743
322.5,35.55228043,1.432670651
323,34.92826843,1.367209277
323.5,34.02606583,1.278121306
324,32.96857452,1.219898959
324.5,31.7455883,1.137523382
325,30.37636948,1.087406281
325.5,28.95146561,1.015079103
326,27.45708084,0.975390475
326.5,25.99512863,0.913715099
327,24.4991188,0.883669991
327.5,23.0537262,0.831614506
328,21.55810547,0.813069216
328.5,20.24206543,0.776703089
329,18.94540596,0.766292323
329.5,17.67916489,0.740477192
330,16.56916618,0.746370806
330.5,15.54702663,0.728296097
331,14.5541153,0.740195256
331.5,13.65268421,0.73232511
332,12.7906971,0.751808165
332.5,11.96576214,0.754725515
333,11.25207806,0.788883912
333.5,10.59753323,0.79959461
334,9.972723007,0.840893019
334.5,9.412081718,0.864834272
335,8.932105064,0.917942349
335.5,8.492943764,0.948896136
336,8.102415085,1.01089325
336.5,7.764946461,1.051596237
337,7.472569942,1.122822196
337.5,7.246386051,1.172588682
338,7.062102795,1.248528009
338.5,6.916574955,1.303119188
339,6.82598877,1.385577567
339.5,6.78760767,1.443153648
340,6.791736126,1.52613555
340.5,6.848673344,1.583277391
341,6.942174435,1.663759547
341.5,7.087614059,1.718671916
342,7.280341148,1.795418642
342.5,7.527809143,1.844715624
343,7.822265625,1.914199868
343.5,8.172798157,1.955863565
344,8.580243111,2.016024118
344.5,9.031047821,2.046893404
345,9.538079262,2.098063987
345.5,10.11460304,2.118694734
346,10.71998692,2.156511054
346.5,11.36515713,2.168567516
347,12.09392643,2.199429668
347.5,12.85988045,2.201232181
348,13.70474529,2.223593061
348.5,14.61012268,2.21607025
349,15.58151436,2.228440564
349.5,16.61823654,2.211920478
350,17.73427391,2.2146132
350.5,18.8992424,2.188078723
351,20.15749359,2.181694373
351.5,21.46525764,2.143720455
352,22.80000877,2.127195839
352.5,24.24176407,2.080156375
353,25.65395355,2.050872579
353.5,27.09972191,1.993811012
354,28.53180122,1.954150824
354.5,29.91064453,1.885331586
355,31.16736412,1.834984899
355.5,32.28347015,1.757548532
356,33.20472336,1.700249712
356.5,33.92422485,1.61901685
357,34.51456451,1.55932203
357.5,34.84986115,1.47306964
358,34.90810013,1.411158601
358.5,34.77721786,1.326571446
359,34.41231537,1.26514796
359.5,33.79458237,1.182337343
360,32.98670578,1.125986116
360.5,32.02378464,1.049179739
361,30.91044998,0.998795795
361.5,29.67175484,0.929273668
362,28.33336449,0.888115144
362.5,26.97673798,0.829970214
363,25.61957359,0.798745143
363.5,24.24199295,0.750082726
364,22.90480614,0.729654105
364.5,21.58990479,0.691632384
365,20.3348484,0.682009428
365.5,19.12715149,0.655323238
366,18.01377487,0.656853773
366.5,16.95470428,0.639684213
367,15.97006226,0.650629181
367.5,15.04685783,0.643495013
368,14.20878124,0.66360616
368.5,13.41328144,0.664285344
369,12.68583775,0.69323623
369.5,12.0061903,0.702408606
370,11.37159348,0.740434428
370.5,10.80091476,0.76113344
371,10.30023289,0.808913123
371.5,9.842433929,0.837181143
372,9.439844131,0.893942915
372.5,9.094451904,0.930921886
373,8.793916702,0.994890976
373.5,8.546962738,1.040031722
374,8.360040665,1.111509682
374.5,8.229921341,1.161443542
375,8.148943901,1.236164932
375.5,8.128134727,1.28830682
376,8.149372101,1.362788041
376.5,8.223511696,1.414933108
377,8.35515976,1.488407069
377.5,8.539787292,1.536406011
378,8.768507004,1.60506913
378.5,9.059521675,1.648218009
379,9.394172668,1.71042015
379.5,9.79671669,1.747303346
380,10.25164509,1.801628215
380.5,10.77620029,1.830229463
381,11.35971737,1.874777263
381.5,11.99978638,1.893645812
382,12.71226883,1.928902325
382.5,13.47676945,1.937721919
383,14.31820011,1.96383815
383.5,15.22076321,1.963078508
384,16.20294571,1.979841548
384.5,17.26309204,1.969053341
385,18.37927628,1.974748938
385.5,19.56431389,1.954948409
386,20.84210205,1.951152388
386.5,22.16938972,1.919955903
387,23.54264641,1.904974787
387.5,24.93803024,1.864360296
388,26.3935318,1.84020191
388.5,27.84112167,1.789523089
389,29.30214691,1.75508752
389.5,30.68103218,1.695014681
390,32.05498886,1.652108549
390.5,33.2586441,1.583117082
391,34.3956604,1.533889566
391.5,35.35949707,1.458548056
392,36.16500092,1.402645142
392.5,36.68949509,1.322163644
393,37.00456619,1.264537641
393.5,37.08538437,1.183776751
394,36.93249512,1.12656231
394.5,36.5863266,1.047843711
395,36.00758743,0.992241721
395.5,35.21279144,0.917600428
396,34.27939224,0.868194714
396.5,33.19099426,0.799610762
397,31.98612213,0.757807873
397.5,30.72461891,0.698601299
398,29.43782806,0.66574433
398.5,28.12389755,0.614470383
399,26.78621674,0.590704943
399.5,25.50326538,0.549529245
400,24.21311378,0.534387916
400.5,22.99465179,0.504121729
401,21.86168861,0.498354385
401.5,20.75826073,0.474631199
402,19.72335625,0.477319814
402.5,18.75405693,0.461221914
403,17.83099937,0.470903106
403.5,16.98779106,0.461932658
404,16.17322922,0.477067912
404.5,15.42297554,0.474759827
405,14.70867443,0.495603988
405.5,14.03074455,0.499634726
406,13.40321541,0.527952104
406.5,12.81030941,0.538999564
407,12.26940441,0.575077679
407.5,11.76405621,0.593411897
408,11.30775928,0.638052961
408.5,10.91034698,0.664447582
409,10.55200291,0.715583861
409.5,10.25226784,0.748746781
410,9.988938332,0.805339759
410.5,9.777980804,0.844485068
411,9.612872124,0.906397393
411.5,9.498380661,0.950209153
412,9.438286781,1.016065204
412.5,9.430328369,1.062177124
413,9.474819183,1.12953733
413.5,9.580713272,1.176724572
414,9.754063606,1.243008165
414.5,9.984355927,1.286837748
415,10.28653622,1.349425217
415.5,10.66268444,1.387350027
416,11.10246086,1.441668186
416.5,11.6136694,1.471281684
417,12.19851875,1.516361283
417.5,12.85449505,1.535703829
418,13.58703232,1.570216748
418.5,14.39829826,1.578022615
419,15.27171516,1.600097103
419.5,16.22105789,1.596526397
420,17.24828148,1.605885868
420.5,18.30485344,1.588344606
421,19.40860748,1.585915341
421.5,20.53513145,1.55690851
422,21.67239952,1.543559969
422.5,22.81391525,1.504444433
423,23.92184067,1.481206235
423.5,24.99531364,1.433600657
424,25.99691772,1.402717367
424.5,26.93384933,1.348871151
425,27.76543045,1.312038812
425.5,28.47587013,1.254228018
426,29.1064415,1.215272953
426.5,29.61668015,1.154342491
427,29.98716354,1.112480571
427.5,30.20572853,1.050804766
428,30.31922531,1.009480243
428.5,30.27586174,0.947789467
429,30.1006031,0.908084149
429.5,29.81093216,0.84941607
430,29.4191227,0.812736328
430.5,28.91317368,0.757202009
431,28.3152771,0.725651169
431.5,27.68782425,0.67566661
432,26.97514153,0.648591637
432.5,26.25951195,0.603957455
433,25.47631454,0.581115696
433.5,24.67405128,0.541729259
434,23.84101868,0.525339275
434.5,23.03222275,0.492398633
435,22.19918823,0.481399717
435.5,21.39144135,0.455092845
436,20.59917641,0.450120889
436.5,19.81379509,0.429659263
437,19.07173347,0.431668194
437.5,18.35671425,0.41686182
438,17.67253876,0.42382054
438.5,17.00384712,0.414363683
439,16.3813343,0.42743397
439.5,15.77964401,0.422674421
440,15.19976616,0.441166735
440.5,14.66256905,0.442785032
441,14.14755917,0.466680644
441.5,13.67506695,0.474410339
442,13.23382187,0.503505775
442.5,12.81832409,0.516297994
443,12.43533897,0.551679268
443.5,12.09496403,0.571149393
444,11.79900455,0.611817913
444.5,11.53100681,0.635471678
445,11.30126953,0.681221338
445.5,11.1087904,0.710347763
446,10.9717741,0.761487369
446.5,10.88707161,0.79310118
447,10.82499313,0.844668261
447.5,10.80526447,0.879309769
448,10.83826065,0.934001165
448.5,10.92335796,0.969542241
449,11.05621624,1.024122478
449.5,11.25287914,1.059410647
450,11.51101398,1.111317632
450.5,11.81763268,1.142558203
451,12.19240856,1.19115285
451.5,12.63857746,1.217863401
452,13.1593399,1.259710927
452.5,13.74240971,1.278805664
453,14.41288567,1.313219527
453.5,15.16115093,1.323166822
454,15.99439526,1.347201185
454.5,16.89837646,1.34576373
455,17.87902641,1.358826319
455.5,18.94941139,1.344896762
456,20.03071404,1.34386746
456.5,21.1716404,1.318728658
457,22.32058334,1.306152006
457.5,23.47706604,1.269905065
458,24.61376953,1.247588446
458.5,25.73143578,1.201839332
459,26.76689529,1.170658668
459.5,27.75766754,1.118065262
460,28.63919067,1.079303142
460.5,29.36824417,1.021115645
461,30.02479362,0.979980149
461.5,30.52900505,0.917428107
462,30.86065865,0.873234421
